"GeneID","GeneName","Cluster","Order","Na_REG","NaCl (130mM)","NaNO3 (130mM)","KCl (130mM)","Sorbitol (260mM)","ABA (25uM)","NaCl (130mM)_padj","NaNO3 (130mM)_padj","KCl (130mM)_padj","Sorbitol (260mM)_padj","ABA (25uM)_padj"
"AT1G01010","NAC001/NTL10",1,4078,"NSS",0.508450433444479,0.316817438113232,0.350659178229112,0.0604772292293602,-0.476393815756678,0.000173946651723809,0.0240630667114234,0.0128836898829749,0.693208632933189,0.00271193597320658
"AT1G01070","AT1G01070",2,5006,"NSS",1.15363374692218,1.03530870743419,1.48718738049215,0.969176105030844,0.957600602557373,1.01914938135796e-18,5.58863654346039e-16,1.69060425369949e-28,2.39718185006102e-14,6.75443962490521e-14
"AT1G01140","CIPK9",2,5186,"NSS",2.04060156491229,1.9668768230461,0.644794629030578,0.723407215981818,0.877007924287662,1.90190296044942e-34,2.35009538723698e-33,1.03875197964236e-07,6.25155422675169e-09,8.1829072649678e-11
"AT1G01190","CYP78A8",3,1388,"NSS",-0.0532888851738879,-0.0685432835138923,-0.539926769858975,-0.531118126982733,-0.669906306150602,0.547709158453923,0.52798370997541,0.0071310254556091,0.00798759301229867,0.00108337817212689
"AT1G01225","AT1G01225",3,1240,"NSS",-0.381629657526661,-0.381302202610257,-0.643189425116859,-0.24297944236263,-0.333801096298961,0.0216933894063616,0.0185565824429393,0.000297775226850043,0.140877585141856,0.0428318609315211
"AT1G01340","CNGC10",4,2013,"NSS",-0.726760315611684,-0.746250609838395,-1.10532738339029,-0.536383373253719,-1.2725413982257,9.629124244704e-11,4.1170851853206e-12,3.15706000685791e-20,7.69931819731378e-07,2.12170278390295e-27
"AT1G01380","ETC1",1,4192,"NSS",0.542549927007856,0.312976147046442,0.161577640524976,0.362570300183524,0.443752707776614,0.00748748845374988,0.0811703232144393,0.28376483447877,0.0627843723236994,0.0257904660882624
"AT1G01420","UGT72B3",4,2472,"NSS",-0.419880659459667,-0.611421290026893,-0.950306362069942,-0.697431511905288,-1.29907052768118,0.0069908540282665,0.000295490874987004,3.02827114047839e-06,0.000102969882265073,2.8008529899125e-09
"AT1G01453","AT1G01453",3,1389,"NSS",-0.163904395546744,0.0051839911196449,-0.634706367416595,-0.431274192758568,1.39036428232371,0.497015901148495,0.899121321125895,0.0173560449080213,0.098878591709356,2.07309062957812e-08
"AT1G01470","LEA14",1,2706,"NSS",0.839160514827473,0.666136602799012,0.515254201572127,0.453231753927324,1.28877148030855,6.07385648217725e-10,5.6548267162283e-07,8.22588810109657e-05,0.000525922066891717,2.1286724041728e-20
"AT1G01580","FRO2",3,1509,"NSS",-0.574866758063187,0.107063985054686,-0.960836244499052,-0.747177815843908,-2.0386846338954,0.00118770478770342,0.158201389162803,9.5234291652325e-06,4.01658221025566e-05,1.10433623084804e-10
"AT1G01600","CYP86A4",1,4517,"NSS",0.445850654376233,0.0750155784553505,0.582207208818365,0.145036557043256,1.44121410196488,0.00603797072631497,0.455273708404252,0.000482572448495236,0.307944583287018,2.93352983365952e-17
