Sample,Treatment,Genotype,timepoint,Rep_or,File,Rep,Name,Treatment_ori,Genotype_ori
1,0.5MS,Col0,0,1,a1.sf,1,0_0.5MS,0.5MS,Col0
3,0.5MS,Col0,0,3,a3.sf,2,0_0.5MS,0.5MS,Col0
4,0.5MS,Col0,0,4,a4.sf,3,0_0.5MS,0.5MS,Col0
177,0.5MS,CaCl2,1,1,a177.sf,1,1_CaCl2,CaCl2,Col0
198,0.5MS,CaCl2,1,2,a198.sf,2,1_CaCl2,CaCl2,Col0
212,0.5MS,CaCl2,1,3,a212.sf,3,1_CaCl2,CaCl2,Col0
188,0.5MS,Col0,1,2,a188.sf,1,1_0.5MS,0.5MS,Col0
207,0.5MS,Col0,1,3,a207.sf,2,1_0.5MS,0.5MS,Col0
230,0.5MS,Col0,1,4,a230.sf,3,1_0.5MS,0.5MS,Col0
182,KCl,Col0,1,1,a182.sf,1,1_KCl,KCl,Col0
183,KCl,Col0,1,2,a183.sf,2,1_KCl,KCl,Col0
205,KCl,Col0,1,3,a205.sf,3,1_KCl,KCl,Col0
184,NaCl,Col0,1,2,a184.sf,1,1_NaCl,NaCl,Col0
206,NaCl,Col0,1,3,a206.sf,2,1_NaCl,NaCl,Col0
232,NaCl,Col0,1,4,a232.sf,3,1_NaCl,NaCl,Col0
180,NaCl,CaCl2,1,1,a180.sf,1,1_NaCl_CaCl2,NaCl_CaCl2,Col0
191,NaCl,CaCl2,1,2,a191.sf,2,1_NaCl_CaCl2,NaCl_CaCl2,Col0
204,NaCl,CaCl2,1,3,a204.sf,3,1_NaCl_CaCl2,NaCl_CaCl2,Col0
175,sorbitol,Col0,1,1,a175.sf,1,1_sorbitol,sorbitol,Col0
197,sorbitol,Col0,1,2,a197.sf,2,1_sorbitol,sorbitol,Col0
202,sorbitol,Col0,1,3,a202.sf,3,1_sorbitol,sorbitol,Col0
167,ABA,Col0,1,1,a167.sf,1,1_ABA,ABA,Col0
199,ABA,Col0,1,2,a199.sf,2,1_ABA,ABA,Col0
210,ABA,Col0,1,3,a210.sf,3,1_ABA,ABA,Col0
168,0.5MS,Col0.etr1,1,1,a168.sf,1,1_0.5MS,0.5MS,Col0.etr1
185,0.5MS,Col0.etr1,1,2,a185.sf,2,1_0.5MS,0.5MS,Col0.etr1
209,0.5MS,Col0.etr1,1,3,a209.sf,3,1_0.5MS,0.5MS,Col0.etr1
166,NaCl,Col0.etr1,1,1,a166.sf,1,1_NaCl,NaCl,Col0.etr1
195,NaCl,Col0.etr1,1,2,a195.sf,2,1_NaCl,NaCl,Col0.etr1
215,NaCl,Col0.etr1,1,3,a215.sf,3,1_NaCl,NaCl,Col0.etr1
178,0.5MS,cop1.4,1,1,a178.sf,1,1_0.5MS,0.5MS,cop1.4
190,0.5MS,cop1.4,1,2,a190.sf,2,1_0.5MS,0.5MS,cop1.4
216,0.5MS,cop1.4,1,3,a216.sf,3,1_0.5MS,0.5MS,cop1.4
181,NaCl,cop1.4,1,1,a181.sf,1,1_NaCl,NaCl,cop1.4
187,NaCl,cop1.4,1,2,a187.sf,2,1_NaCl,NaCl,cop1.4
213,NaCl,cop1.4,1,3,a213.sf,3,1_NaCl,NaCl,cop1.4
